"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 10, 2019","192.06","193.59","194.95","188.05","37.16K","-0.75%"
"Oct 09, 2019","193.51","181.50","196.35","179.95","114.22K","6.49%"
"Oct 08, 2019","181.72","180.66","185.72","178.16","46.36K","0.59%"
"Oct 07, 2019","180.66","170.56","183.45","169.07","86.58K","5.95%"
"Oct 06, 2019","170.51","176.94","177.50","168.31","63.87K","-3.63%"
"Oct 05, 2019","176.93","176.29","177.49","172.61","39.65K","0.42%"
"Oct 04, 2019","176.19","175.36","179.82","171.49","38.25K","0.47%"
"Oct 03, 2019","175.37","181.24","181.66","170.18","56.87K","-3.24%"
"Oct 02, 2019","181.24","176.41","182.10","174.32","40.10K","2.74%"
"Oct 01, 2019","176.41","182.27","186.43","174.15","94.81K","-2.90%"
"Sep 30, 2019","181.68","169.91","182.50","165.66","108.77K","6.97%"
"Sep 29, 2019","169.84","174.41","175.10","164.85","72.46K","-2.62%"
"Sep 28, 2019","174.41","174.61","176.20","169.20","55.90K","-0.11%"
"Sep 27, 2019","174.61","166.77","177.73","162.02","75.67K","4.81%"
"Sep 26, 2019","166.60","170.67","171.33","153.75","114.52K","-2.38%"
"Sep 25, 2019","170.67","166.54","175.42","162.82","115.22K","2.25%"
"Sep 24, 2019","166.91","200.79","202.73","155.00","347.56K","-16.87%"
"Sep 23, 2019","200.79","211.26","212.21","199.03","73.98K","-5.09%"
"Sep 22, 2019","211.55","215.56","216.00","206.50","66.86K","-1.86%"
"Sep 21, 2019","215.56","218.68","221.90","213.97","41.73K","-1.45%"
"Sep 20, 2019","218.73","221.35","222.69","212.50","56.83K","-1.24%"
"Sep 19, 2019","221.47","210.90","224.73","202.46","145.40K","5.01%"
"Sep 18, 2019","210.90","208.41","217.99","208.41","100.21K","1.09%"
"Sep 17, 2019","208.62","198.29","215.82","196.60","109.35K","5.21%"
"Sep 16, 2019","198.29","189.63","200.71","189.13","109.16K","4.56%"
"Sep 15, 2019","189.64","189.05","191.37","186.45","35.68K","0.32%"
"Sep 14, 2019","189.03","181.89","189.76","180.44","65.17K","4.06%"
"Sep 13, 2019","181.65","181.35","182.20","178.00","32.91K","0.13%"
"Sep 12, 2019","181.41","178.55","183.09","177.01","31.57K","1.60%"
"Sep 11, 2019","178.55","180.25","182.73","174.71","49.97K","-0.94%"
"Sep 10, 2019","180.24","180.80","184.50","176.93","40.10K","-0.28%"
"Sep 09, 2019","180.75","181.96","186.52","176.54","66.89K","-0.66%"
"Sep 08, 2019","181.96","178.33","184.90","177.22","65.32K","1.99%"
"Sep 07, 2019","178.41","169.35","181.34","168.60","62.21K","5.35%"
"Sep 06, 2019","169.35","174.04","178.45","165.40","62.43K","-2.69%"
"Sep 05, 2019","174.03","175.10","175.92","169.68","59.84K","-0.61%"
